"id","name","region","language","tvg_id","tvg_logo","group_title","stream_url","enabled","last_checked_ok","last_checked_at_utc","last_status","last_error"
"bloomberg_tv_us","Bloomberg TV US","US","English","BloombergTV.us@US","","News","https://bloomberg.com/media-manifest/streams/us.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"court_tv_us","Court TV","US","English","CourtTV.us@SD","","News","https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01438-ewscrippscompan-courttv-tablo/playlist.m3u8","true","true","2026-05-06T15:34:50.7620576Z","200",""
"gb_news_uk","GB News","UK","English","GBNews.uk@SD","","News","https://amg01076-lightning-amg01076c7-lg-gb-2019.playouts.now.amagi.tv/playlist/amg01076-lightning-gbnews-lggb/playlist.m3u8","true","true","2026-05-06T15:34:50.7620576Z","200",""
"talktv_uk","TalkTV","UK","English","TalkTV.uk@SD","","News","https://live-talktv-ssai.simplestreamcdn.com/v1/master/774d979dd66704abea7c5b62cb34c6815fda0d35/talktv-live/index.m3u8","true","true","2026-05-06T15:34:50.7620576Z","206",""
"create_us","Create","US","English","Create.us@SD","","Documentary","https://create.lls.pbs.org/index.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"world_channel_us","World Channel","US","English","WorldChannel.us@SD","","Documentary","https://world.lls.pbs.org/index.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"newsmax_tv_us","Newsmax TV","US","English","NewsmaxTV.us@SD","","News","https://nmx1ota.akamaized.net/hls/live/2107010/Live_1/index.m3u8","true","true","2026-05-06T15:34:50.7620576Z","206",""
"newsmax2_us","Newsmax 2","US","English","Newsmax2.us@SD","","News","https://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"cbs_news_us","CBS News","US","English","CBSNews.us","","News","https://cbsnews.akamaized.net/hls/live/2020607/cbsnlineup_8/master.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"nasa_tv_media_us","NASA TV Media","US","English","NASATVMedia.us","","Science","https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"forty_eight_hours_us","48 Hours","US","English","48Hours.us@US","","News","https://dai.google.com/linear/hls/event/JUr94WL2QAiVpGNHY5n5dA/master.m3u8","false","true","2026-05-06T15:34:50.7620576Z","200",""
"dateline_247_us","Dateline 24/7","US","English","Dateline247.us@SD","","News","https://d4whmvwm0rdvi.cloudfront.net/10007/99993007/hls/master.m3u8?ads.xumo_channelId=99993007","false","true","2026-05-06T15:34:50.7620576Z","200",""
"nbc_news_now_us","NBC News NOW","US","English","NBCNewsNOW.us@SD","","News","https://d1bl6tskrpq9ze.cloudfront.net/hls/master.m3u8?ads.xumo_channelId=99984003","false","true","2026-05-06T15:34:50.7620576Z","200",""
"nbclx_us","NBCLX","US","English","NBCLX.us@SD","","News","https://nbculocallive.akamaized.net/hls/live/2037096/lx/use1.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"bloomberg_tv_europe_uk","Bloomberg TV Europe","UK","English","BloombergTV.us@Europe","","News","https://bloomberg.com/media-manifest/streams/eu.m3u8","true","true","2026-05-06T15:34:50.7620576Z","206",""
"bloomberg_originals_global_uk","Bloomberg Originals Global","UK","English","BloombergOriginals.us@SD","","Documentary","https://www.bloomberg.com/media-manifest/streams/originals-global.m3u8","true","true","2026-05-06T15:34:50.7620576Z","206",""
"bloomberg_tv_emea_event_uk","Bloomberg TV EMEA Live Event","UK","English","BloombergTV.us@EMEALiveEvent","","News","https://bloomberg.com/media-manifest/streams/eu-event.m3u8","true","true","2026-05-06T15:34:50.7620576Z","206",""
"afghanistan_international_uk","Afghanistan International","UK","English","AfghanistanInternational.uk@SD","","News","https://hls.afintl.com/hls/stream.m3u8","true","true","2026-05-06T15:34:50.7620576Z","206",""
"iran_international_uk","Iran International","UK","English","IranInternational.uk@SD","","News","https://live.livetvstream.co.uk/LS-63503-4/index.m3u8","true","true","2026-05-06T15:34:50.7620576Z","200",""
"irane_farda_uk","IraneFarda TV","UK","Persian","IraneFardaTV.uk@SD","","News","https://hls.iranfarda.live/hls/stream.m3u8","true","true","2026-05-06T15:34:50.7620576Z","206",""
"cnbc_uk","CNBC UK","UK","English","CNBCUK.uk@SD","","News","https://amg01079-nbcuuk-amg01079c2-lg-gb-2030.playouts.now.amagi.tv/playlist.m3u8","true","true","2026-05-06T15:34:50.7620576Z","206",""
"bbc_four_uk","BBC Four","UK","English","BBCFour.uk@UKHD","","Documentary","https://streamer.nexyl.uk/48559ccd-6400-457d-8acc-06b9e24c2ed8.m3u8","true","true","2026-05-06T15:34:50.7620576Z","200",""
"space_live_uk","Space Live","UK","English","SpaceLivepoweredbysen.uk@SD","","Science","https://linear-1224.frequency.stream/dist/lg-uk/1224/hls/master/playlist.m3u8","true","true","2026-05-06T15:34:50.7620576Z","200",""
"sky_news_weather_uk","Sky News Weather","UK","English","SkyNewsWeather.uk@SD","","Science","https://distro001-gb-hls1-prd.delivery.skycdp.com/easel_cdn/ngrp:weather_loop.stream_all/playlist.m3u8","true","true","2026-05-06T15:34:50.7620576Z","206",""
"horse_country_uk","Horse and Country TV","UK","English","HorseCountryTV.uk@SD","","Documentary","https://hnc-free-viewlift.amagi.tv/HNC_AUSTRALIA.m3u8","true","true","2026-05-06T15:34:50.7620576Z","200",""
"kqed_dt2_us","KQED-DT2","US","English","KQED92.us@HD","","Documentary","https://kqeddt2.lls.pbs.org/kqeddt2-hls.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"kvie_dt2_us","KVIE-DT2","US","English","KVIE62.us@HD","","Documentary","https://kviedt2.lls.pbs.org/kviedt2-hls.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"wgtv_dt3_us","WGTV-DT3","US","English","WGTV83.us@SD","","Documentary","https://wgtvdt3.lls.pbs.org/wgtvdt3-cmaf-hls.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"wedq_dt4_us","WEDQ-DT4","US","English","WEDQ34.us@HD","","Documentary","https://wedqdt4.lls.pbs.org/wedqdt4-hls.m3u8","false","true","2026-05-06T15:34:50.7620576Z","206",""
"cbs_news_24_7_us","CBS News 24/7","US","English","XUMO_99991158","https://image.xumo.com/v1/channels/channel/99991158/300x300.webp?type=color_onBlack","News","https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8?imafw_csid=vcbs_xumo_ctv_allos_live_cbsnews;imafw__fw_h_referer=com.xumo.app&imafw__fw_did=dpid:[deviceID]&imafw__fw_is_lat=[LIMITED_AD_TRACKING]&imafw__fw_vcid2=[PPID]&imafw__fw_app_bundle=[app_bundle]&imafw_is_lat=[LIMITED_AD_TRACKING]","false","true","2026-05-06T15:34:50.7620576Z","200",""
"livenow_from_fox_us","LiveNOW from FOX","US","English","XUMO_99991635","https://image.xumo.com/v1/channels/channel/99991635/300x300.webp?type=color_onBlack","News","https://dbrb49pjoymg4.cloudfront.net/10001/99991635/hls/playlist.m3u8?ads.xumo_channelId=99991635&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=FoxNewsNow&ads.csid=xumo_[PLATFORM]_FoxNewsNow_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=News,N,DN,Local,LocalNews,News-Local&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=News,N,DN,Local,LocalNews,News-Local&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=2662&ads.xumo_contentName=FoxNewsNow&ads.xumo_providerId=2662&ads.xumo_providerName=FoxNewsNow&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=99991635&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]","false","true","2026-05-06T15:34:50.7620576Z","200",""
"outdoor_america_us","Outdoor America","US","English","XUMO_99991374","https://image.xumo.com/v1/channels/channel/99991374/300x300.webp?type=color_onBlack","General","https://dbrb49pjoymg4.cloudfront.net/10001/99991374/hls/playlist.m3u8?ads.xumo_channelId=99991374&ads._fw_ifa_type=[IFA_TYPE]&ads._fw_did=[IFA]&ads.amznappId=[AMZN_APP_ID]&ads.lat=[LAT]&ads.lon=[LON]&ads.os=[OS]&ads.osv=[OS_VERSION]&ads.asnw=&ads.caid=ObsessionMediaOutdoorAmerica&ads.csid=xumo_[PLATFORM]_ObsessionMediaOutdoorAmerica_ssai&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads.genre=[CONTENT_IMDB_GENRE]&ads._fw_content_category=[IAB_content_category]&ads._fw_content_language=[content_language]&ads._fw_content_genre=[content_genre]&ads._fw_content_rating=[content_rating]&ads.xumo_contentId=1096&ads.xumo_contentName=ObsessionMediaOutdoorAmerica&ads.xumo_providerId=1096&ads.xumo_providerName=ObsessionMediaOutdoorAmerica&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads.channelId=99991374&ads.xumo_platform=[PLATFORM]&ads.site_id=[publica_site_id]&ads.appName=xumo&ads.appVersion=[APP_VERSION]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]","false","true","2026-05-06T15:34:50.7620576Z","200",""
"dateline_24_7_us","Dateline 24/7","US","English","XUMO_99991626","https://image.xumo.com/v1/channels/channel/99991626/300x300.webp?type=color_onBlack","News","https://d4whmvwm0rdvi.cloudfront.net/10007/99991626/hls/master.m3u8?ads.xumo_channelId=99991626&ads.asnw=169843&ads.afid=322036060&ads.sfid=16772619&ads.csid=xumo_[PLATFORM]_NBCUDateline_ssai_cro&ads._fw_is_lat=[IS_LAT]&ads._fw_us_privacy=[CCPA_Value]&ads._fw_coppa=0&ads._fw_did=[IFA]&ads._fw_vcid2=512116:[IFA]&ads._fw_app_bundle=[app_bundle]&ads._fw_app_store_url=[app_store_url]&ads._fw_content_category=[IAB_content_category]&ads._fw_content_genre=Documentary,Crime,DO,Entertainment,GV,SM&ads._fw_content_language=[content_language]&ads._fw_content_rating=[content_rating]&ads._fw_deviceMake=[device_make]&ads._fw_device_model=[device_model]&ads._fw_deviceType=3-Connected_TV&ads.appVersion=[APP_VERSION]&ads.appName=XumoPlay&ads.xumo_contentId=2679&ads.xumo_contentName=NBCUDateline&ads.xumo_providerId=2679&ads.xumo_providerName=NBCUDateline&ads.channelId=99991626&ads._fw_ifa_type=[IFA_TYPE]","false","true","2026-05-06T15:34:50.7620576Z","200",""
